Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,td loss,training_reward
0.0871923141981614,447.5,8015958,102.151505,101.47352,101.01652,101.732506,100.85234,100.9498,103.472725,98.23259,100.323715,771.48157,822.0
0.08700952318692544,434.88,8115376,150.70674,151.01697,149.21829,150.09486,149.73462,148.92645,153.59282,146.75055,147.31158,6912.2344,802.5
0.0868261566905005,420.26,8215107,128.37115,129.27284,126.539665,128.34077,127.99328,126.619934,132.43245,123.72942,125.53254,2273.4229,804.5
0.08663856138917263,431.14,8317138,97.722244,97.75161,97.79226,96.524796,97.9443,96.22997,98.132324,97.47345,94.59292,897.8632,688.0
0.08645640286006129,455.55,8416212,80.17747,80.76463,80.08425,80.503,80.665,79.38221,81.89486,79.141716,78.97697,1153.1816,852.0
0.08627162063329928,484.98,8516713,53.886982,53.86138,53.15571,54.7632,54.82196,53.790894,55.6543,51.028316,53.438835,1279.009,924.0
0.08608580694586312,454.2,8617775,43.055725,44.379757,44.106728,44.82494,43.583786,43.75236,45.080734,40.616966,43.518784,451.23755,864.0
0.08590417058222677,459.87,8716565,28.838633,29.920761,30.15727,30.761082,29.146513,30.316069,30.026932,27.669498,31.037954,1761.4287,893.5
0.08571938835546476,438.82,8817066,38.695156,38.58781,38.595497,39.185284,38.02393,37.444775,37.403793,37.193806,36.397354,30184.143,827.5
0.08553187763023493,518.74,8919051,54.542805,55.15542,55.07982,55.30293,53.91807,54.321476,56.46151,51.775383,54.48339,710.68085,837.0
0.08534930725229826,463.0,9018349,40.531647,40.610973,41.830025,41.10388,40.8936,40.227814,40.67025,38.865746,41.49002,4626.7476,820.5
0.08516450480081716,468.42,9118861,37.922413,38.346077,39.307858,38.202335,39.70228,38.20581,37.74696,37.04959,38.260143,1743.3176,817.0
0.08497536322778346,396.52,9221733,28.26413,28.760836,29.059729,28.605999,29.01039,28.89025,28.32188,28.528502,29.068058,2434.8865,679.0
0.08479400081716038,449.01,9320374,34.293045,34.273598,33.090965,34.703526,33.816708,34.825783,35.575542,32.084373,34.114296,748.0071,791.5
0.084612726659857,421.77,9418967,42.970734,43.06245,42.1062,42.56247,42.06991,42.535458,43.788975,41.590313,42.174904,9283.419,723.0
0.08442770909090909,475.17,9519596,67.14802,69.45796,67.80006,67.75187,65.873535,66.88973,70.913475,66.76447,68.17225,3630.0757,881.5
0.08424361082737487,470.2,9619725,70.32732,71.95391,70.79911,70.22821,70.16464,69.52574,72.78468,68.7789,69.610085,250.18071,732.0
0.08406046864147089,424.86,9719334,66.54048,66.721756,66.07752,66.09838,66.22633,65.4319,67.45431,64.67843,63.44425,1078.802,741.5
0.08387484984678242,463.08,9820290,61.227455,61.687542,62.136505,61.667446,60.531822,60.444477,62.189987,60.091473,59.41204,2660.5134,874.5
0.08368732257405516,484.54,9922284,48.76208,49.78634,49.245926,48.821552,48.215664,49.959183,49.81878,49.134647,47.87867,605.12286,901.0
